Company,Slogan,Description,Shortened_Description
Boost (chocolate bar),One Step Ahead.,"Boost is a brand of chocolate bar manufactured by Cadbury. The bar is sold in the United Kingdom, Ireland, Australia, New Zealand and South Africa. It consists of milk chocolate with a caramel and biscuit filling.",Boost brand chocolate bar Cadbury bar United Kingdom Ireland Australia New Zealand
3 Musketeers,Big on Chocolate!,The Three Musketeers is an 1844 novel by Alexandre Dumas. It may also refer to:,Three Musketeers novel Alexandre Dumas
Trident (gum),See what Unfolds.,"Trident is a brand of sugar-free chewing gum owned by the Italian-Dutch company Perfetti Van Melle. It was originally introduced by American Chicle in 1960 shortly before it was bought by Warner-Lambert in 1962. It reached the UK in 2007 when it was introduced by its then-owner Cadbury Schweppes in the United Kingdom. In many other European countries, Trident is branded as Stimorol gum; it is generally the same as Trident.",Trident brand sugar free chewing gum Italian Dutch company Perfetti Van Melle
Cheetos,Dangerously cheesy.,"Cheetos is a crunchy corn-cheese puff snack brand made by Frito-Lay, a subsidiary of PepsiCo. Fritos creator Charles Elmer Doolin invented Cheetos in 1948, and began national distribution in the United States. The initial success of Cheetos was a contributing factor to the merger between The Frito Company and H.W. Lay & Company in 1961 to form Frito-Lay. In 1965 Frito-Lay became a subsidiary of The Pepsi-Cola Company, forming PepsiCo, the current owner of the Cheetos brand.",Cheetos crunchy corn cheese puff snack brand Frito Lay subsidiary PepsiCo Fritos
Hostess CupCake,Where's the cream filling?,"Hostess CupCake is an American brand of snack cake produced and distributed by Hostess Brands and currently owned by The J.M. Smucker Company. Its most common form is a chocolate cupcake with chocolate icing and vanilla creme filling, with seven distinctive white squiggles across the top. However, other flavors have been available at times. It has been claimed to be the first commercially produced cupcake and has become an iconic American brand.",Hostess CupCake American brand snack cake Hostess Brands J.M. Smucker Company common
Ouma Rusks,Baked on the original farm.,"Ouma is a South African rusk made from a traditional buttermilk recipe. It was first produced in the rural town of Molteno, in the Eastern Cape, by Elizabeth Ann Greyvenstyn in 1939, in response to an initiative by the town's pastor to help the entrepreneurial efforts of the women in his congregation. The brand currently dominates the relatively-small local rusk market, and is manufactured in the same town it was first produced.",Ouma South African rusk traditional buttermilk recipe rural town Molteno Eastern Cape
Oreo,Only oreo.,"Oreo is an American brand of sandwich cookie consisting of two cocoa biscuits with a sweet fondant filling. Oreos were introduced in 1912 by Nabisco, and the brand has been owned by Mondelez International since its acquisition of Nabisco in 2012. Oreo cookies are available in more than 100 countries. Many varieties of Oreo cookies have been produced, and limited-edition runs have become popular in the 21st century.",Oreo American brand sandwich cookie cocoa biscuits sweet fondant filling Oreos Nabisco
Nik Naks,Eat The Freak.,"Nik Naks may refer to:NikNaks, a brand of corn extruded snack produced by the Simba Chip company in South Africa
Nik Naks, a brand of corn extruded snack produced by KP Snacks in the United Kingdom

",Nik Naks NikNaks brand corn snack Simba Chip company South Africa Nik
Ruffles,Ruffles have RRRidges.,"Ruffle or ruffles may refer to:Ruffle (sewing), a gathered or pleated strip of fabric
Ruffle (software), a Flash Player emulator written in the Rust programming language
Ruffles, a brand of potato chips
Ruffles and flourishes, a fanfare for ceremonial music played on drums and bugles
Ruffle Bar, an island in the US state of New York
Raspberry Ruffle, a UK chocolate bar manufactured by Tangerine Confectionery
Dust ruffle, a piece of decorative fabric used in bedding
Jonathan Ruffle, a British writer",ruffles sewing gathered pleated strip fabric Ruffle software Flash Player emulator Rust
Toaster Strudel,Get Zem G̦ing.,"Toaster Strudel is the brand name of a toaster pastry, prepared by heating the frozen pastries in a toaster and then spreading the included icing packet on top. The brand is historically notable for being stored frozen, due to innovations in 1980s food manufacturing processes.",Toaster Strudel brand name toaster pastry frozen pastries toaster icing packet top
Tastykake,The Cake That Made Mother Stop Baking.,"Tastykake is a line of snack foods manufactured by the Tasty Baking Company, headquartered at the Philadelphia Navy Yard in Philadelphia, Pennsylvania. Established in 1914 by Philip J. Baur and Herbert T. Morris and originally selling its product only in the Philadelphia metropolitan area, the company now distributes its products in several states on the East Coast, and also Florida, and has been gradually expanding across the United States.",Tastykake line snack foods Tasty Baking Company Philadelphia Navy Yard Philadelphia Pennsylvania
Walkers,Fresh Taste Guaranteed.,Walkers may refer to:,Walkers
Fanta,"Drink Fanta, stay Bamboocha.","Fanta is an American-owned brand of fruit-flavored carbonated soft drinks created by Coca-Cola Deutschland under the leadership of German businessman Max Keith. There are over 200 flavors worldwide. Fanta originated in Germany as a Coca-Cola alternative in 1941 due to the American trade embargo of Nazi Germany which affected the availability of Coca-Cola ingredients. Fanta soon dominated the German market with three million cases sold in 1943. The current formulation of Fanta, with orange flavor, was developed in Italy in 1955.",Fanta American brand fruit soft drinks Coca Cola Deutschland leadership German businessman
Colgate,"Stronger, healthier gums.",Colgate may refer to:,Colgate
Pizza Hut,Make it great.,"Pizza Hut, LLC is an American multinational pizza restaurant chain and international franchise founded in 1958 in Wichita, Kansas, by brothers Dan and Frank Carney. The chain, headquartered in Plano, Texas, operates 19,866 restaurants worldwide as of 2023.",Pizza Hut LLC American multinational pizza restaurant chain international franchise Wichita Kansas
Domino's Pizza,Pizza deliver experts.,"Domino's Pizza, Inc., commonly referred to as Domino's, is an American multinational pizza restaurant chain founded in 1960 and led by CEO Russell Weiner. The corporation is Delaware-domiciled and headquartered at the Domino's Farms office park in Ann Arbor Township, near Ann Arbor, Michigan. As of 2018, Domino's had approximately 15,000 stores, with 5,649 in the United States, 1,500 in India, and 1,249 in the United Kingdom. Domino's has stores in over 83 countries and 5,701 cities worldwide.",Domino Pizza Inc. Domino American multinational pizza restaurant chain CEO Russell Weiner
Head & Shoulders,Live head first.,Head & Shoulders (H&S) is an American brand of anti-dandruff and non-dandruff shampoo produced by parent company Procter & Gamble.,Head Shoulders H&S American brand anti - dandruff non - dandruff shampoo
Ben & Jerry's,"Peace, love & ice cream.","Ben & Jerry's Homemade Holdings Inc., trading and commonly known as Ben & Jerry's, is an American company that manufactures ice cream, frozen yogurt, and sorbet. Founded in 1978 in Burlington, Vermont, the company went from a single ice cream parlor to a multinational brand over the course of a few decades. The company was sold in 2000 to the British multinational conglomerate Unilever but operates as an independent subsidiary. Its present-day headquarters is in South Burlington, Vermont, with its factory in Waterbury, Vermont.",Ben Jerry Homemade Holdings Inc. trading Ben Jerry American company ice cream
Heineken,It's all about the beer.,"Heineken Lager Beer, or simply Heineken, is a Dutch pale lager beer with 5% alcohol by volume produced by the Dutch brewing company Heineken N.V. Heineken beer is sold in a green bottle with a red star.",Heineken Lager Beer Heineken Dutch pale lager beer % alcohol volume Dutch
Gatorade,The Legend Continues.,"Gatorade is an American brand of sports-themed beverage and food products, built around its signature line of sports drinks. The drink is owned and manufactured by PepsiCo and is distributed in over 80 countries. The beverage was developed in 1965 by a team of researchers at the University of Florida led by Robert Cade. It was originally made for the school's student-athletes, the Gators, to replenish the carbohydrates that they burned and the combination of water and electrolytes that they lost in sweat during vigorous sports activities. Stokely-Van Camp acquired the rights to produce and market the Gatorade brand in 1965 before the company was purchased by the Quaker Oats Company in 1983, which, in turn, was bought by PepsiCo in 2001.",Gatorade American brand sports beverage food products signature line sports drinks drink
